plex_guid,library,plex_title,plex_year,omdb_title,omdb_year,action,suggestions_json
plex://movie/5d77683861141d001fb15f0a,Animación 2D,101 dálmatas,1961,One Hundred and One Dalmatians,1961,Fix title,"{""new_title"": ""One Hundred and One Dalmatians""}"
plex://movie/5d776827eb5d26001f1ddab7,Animación 2D,Aladdín,1992,Aladdin,1992,Fix title,"{""new_title"": ""Aladdin""}"
plex://movie/5d7768376f4521001ea9c9ad,Animación 2D,Alicia en el País de las Maravillas,1951,Alice in Wonderland,1951,Fix title,"{""new_title"": ""Alice in Wonderland""}"
plex://movie/5d7768354de0ee001fccb936,Animación 2D,Atlantis: El imperio perdido,2001,Atlantis: The Lost Empire,2001,Fix title,"{""new_title"": ""Atlantis: The Lost Empire""}"
plex://movie/5d776833151a60001f24d67a,Animación 2D,"Basil, el ratón superdetective",1986,The Great Mouse Detective,1986,Fix title,"{""new_title"": ""The Great Mouse Detective""}"
plex://movie/5d776826eb5d26001f1dd404,Animación 2D,Blancanieves y los siete enanitos,1937,Snow White and the Seven Dwarfs,1937,Fix title,"{""new_title"": ""Snow White and the Seven Dwarfs""}"
plex://movie/5d9f354fb0262f001f6ea817,Animación 2D,El dragón chiflado,1941,The Reluctant Dragon,1941,Fix title,"{""new_title"": ""The Reluctant Dragon""}"
plex://movie/5d7768352e80df001ebde4c7,Animación 2D,El gigante de hierro,1999,The Iron Giant,1999,Fix title,"{""new_title"": ""The Iron Giant""}"
plex://movie/5d776d0f7a53e9001e74fc8a,Animación 2D,El jorobado de Notre Dame,1996,The Hunchback of Notre Dame,1996,Fix title,"{""new_title"": ""The Hunchback of Notre Dame""}"
plex://movie/5d7768324de0ee001fccad68,Animación 2D,El planeta del tesoro,2002,Treasure Planet,2002,Fix title,"{""new_title"": ""Treasure Planet""}"
plex://movie/5d776833961905001eb938ae,Animación 2D,El príncipe de Egipto,1998,The Prince of Egypt,1998,Fix title,"{""new_title"": ""The Prince of Egypt""}"
plex://movie/5d776832a091de001f2e780f,Animación 2D,El rey león,1994,The Lion King,1994,Fix title,"{""new_title"": ""The Lion King""}"
plex://movie/5d7768537228e5001f1e2362,Animación 2D,El secreto del libro de Kells,2009,The Secret of Kells,2009,Fix title,"{""new_title"": ""The Secret of Kells""}"
plex://movie/5d776838103a2d001f56891c,Animación 2D,En busca del valle encantado,1988,The Land Before Time,1988,Fix title,"{""new_title"": ""The Land Before Time""}"
plex://movie/5d9f35026fc551001ef80212,Animación 2D,La Estrella de Laura,2004,Lauras Stern,2004,Fix title,"{""new_title"": ""Lauras Stern""}"
plex://movie/5d7768282e80df001ebdceb8,Animación 2D,Fantasía,1940,Fantasia,1940,Fix title,"{""new_title"": ""Fantasia""}"
plex://movie/5d776d19f617c900201863e2,Animación 2D,Hércules,1997,Hercules,1997,Fix title,"{""new_title"": ""Hercules""}"
plex://movie/5d7768348718ba001e3142cb,Animación 2D,Hermano oso,2003,Brother Bear,2003,Fix title,"{""new_title"": ""Brother Bear""}"
plex://movie/5d776833961905001eb938b1,Animación 2D,Jorge el curioso,2006,Curious George,2006,Fix title,"{""new_title"": ""Curious George""}"
plex://movie/5d776b9cf617c9002017819a,Animación 2D,Jorge el curioso 3: Vuelta a la jungla,2015,Curious George 3: Back to the Jungle,2015,Fix title,"{""new_title"": ""Curious George 3: Back to the Jungle""}"
